arm,bats,birthdate,cb,ch,cl,control,cu,delivery,durability,endurance,ethnicity,fa,facial_hair,fb,first_name,gf,hair_color,height,hitter_archetype,hm,hold_runner,injured,injury_description,is_pitcher,kn,last_name,mo,movement,other_positions,ph,pitcher_archetype,pl,player_id,pot_arm,pot_cb,pot_ch,pot_control,pot_cu,pot_endurance,pot_fa,pot_fb,pot_fielding,pot_gf,pot_hold_runner,pot_kn,pot_movement,pot_ph,pot_sc,pot_si,pot_sl,pot_sp,preferred_pitching_role,primary_position,return_date,role,sc,si,skin_tone,sl,sp,throws,vl,weight
66,S,1992-08-29,,67,47,,,,59,,Hispanic,48,mustache,,Rafael,46,brown,68,balanced,47,,0,0,False,,Castillo,51,,[],72,,58,P4010,57,,61,,,,39,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",46,,,,71,50,,,48,,1B,0,,50,,light,,54,R,71,229
52,L,1994-08-23,,72,45,,,,69,,Asian,57,beard,,Sung,49,black,72,balanced,49,,0,0,False,,Pham,53,,[],81,,46,P5276,48,,73,,,,52,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,80,50,,,54,,1B,0,,50,,medium,,49,L,73,236
62,R,1995-07-04,,73,55,,,,66,,African,83,beard,,Xavier,49,black,68,speed_disc,50,,0,0,False,,Carter,53,,[],44,,53,P3975,61,,74,,,,80,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",49,,,,43,49,,,89,,3B,0,,49,,dark,,85,R,78,186
60,R,1993-01-30,,69,51,,,,59,,African,48,beard,,Deshawn,55,black,72,speed_disc,47,,0,0,False,,Jackson,49,,[],54,,63,P1873,60,,69,,,,39,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",55,,,,47,53,,,74,,1B,0,,53,,dark,,79,R,77,197
60,R,1998-01-25,,59,49,,,,58,,Anglo,34,clean_shaven,,Bryan,48,brown,76,balanced,54,,0,0,False,,Rabasca,54,,[],49,,47,P3420,67,,66,,,,39,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,61,52,,,70,,C,0,,52,,dark,,55,R,64,205
64,R,1997-12-24,,65,54,,,,66,,Asian,54,beard,,Yong,55,black,78,balanced,48,,0,0,False,,Nguyen,58,,[],59,,53,P2547,76,,77,,,,66,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",55,,,,70,49,,,85,,SS,0,,49,,dark,,70,R,54,199
48,R,1998-11-04,,75,50,,,,66,,Anglo,68,clean_shaven,,Ivan,50,brown,68,contact,45,,0,0,False,,Lodwick,55,,[],35,,58,P1143,55,,82,,,,83,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",50,,,,46,50,,,84,,CF,0,,50,,medium,,70,R,78,228
72,R,1995-10-19,,67,47,,,,68,,Hispanic,55,mustache,,Rafael,54,blonde,68,contact,53,,0,0,False,,Rivera,50,,[],44,,55,P8272,77,,64,,,,53,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",54,,,,48,51,,,48,,3B,0,,51,,medium,,48,R,58,184
61,L,1998-09-06,,87,50,,,,60,,African,51,beard,,Cedric,50,black,77,contact,53,,0,0,False,,King,52,,[],58,,52,P6350,69,,95,,,,59,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",50,,,,68,51,,,74,,1B,0,,51,,medium,,66,L,68,176
51,R,1995-10-03,,77,55,,,,67,,Asian,52,clean_shaven,,Yong,49,black,74,balanced,52,,0,0,False,,Lin,50,,[],49,,60,P5056,48,,79,,,,47,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",49,,,,50,46,,,62,,2B,0,,46,,medium,,65,R,58,182
69,R,1999-02-12,,74,49,,,,69,,Anglo,60,clean_shaven,,Willy,43,brown,68,balanced,55,,0,0,False,,Mandler,54,,[],63,,50,P7066,78,,85,,,,65,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",43,,,,76,47,,,74,,RF,0,,47,,light,,63,R,67,190
88,R,1994-06-22,,63,48,,,,71,,Anglo,44,clean_shaven,,Orville,56,red,74,contact,48,,0,0,False,,Hagle,55,,[],33,,54,P1028,90,,66,,,,39,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",56,,,,34,49,,,54,,C,0,,49,,medium,,58,R,70,213
68,R,2005-04-10,,73,54,,,,65,,African,61,clean_shaven,,Jermaine,51,black,68,balanced,48,,0,0,False,,White,49,,[],67,,53,P9061,91,,99,,,,82,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",51,,,,90,45,,,79,,RF,0,,45,,dark,,65,R,62,198
65,R,1994-03-19,,72,48,,,,59,,Hispanic,69,beard,,Miguel,49,brown,74,contact,47,,0,0,False,,Guerrero,51,,[],45,,46,P1188,63,,75,,,,71,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",49,,,,42,52,,,61,,RF,0,,52,,medium,,61,R,67,222
61,L,1996-08-26,,43,56,,,,66,,Asian,69,clean_shaven,,Yong,49,black,74,power,53,,0,0,False,,Pham,50,,[],81,,59,P2204,62,,41,,,,70,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",49,,,,82,48,,,45,,CF,0,,48,,medium,,41,L,58,243
48,R,1997-07-13,,78,51,,,,69,,Anglo,56,beard,,Maurice,53,blonde,70,contact,50,,0,0,False,,Dekruif,50,,[],30,,46,P3730,53,,73,,,,59,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",53,,,,29,51,,,68,,3B,0,,51,,light,,70,R,59,198
61,S,1993-03-02,,63,54,,,,61,,Anglo,40,beard,,Hector,48,red,70,balanced,50,,0,0,False,,Delgado,56,,[],62,,56,P7157,56,,59,,,,40,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,58,50,,,37,,1B,0,,50,,light,,40,R,70,224
61,R,1997-05-28,,45,50,,,,66,,Hispanic,59,beard,,Raul,47,brown,76,power,54,,0,0,False,,Hernandez,46,,[],87,,60,P2547,60,,45,,,,57,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",47,,,,86,53,,,34,,3B,0,,53,,medium,,35,R,44,178
59,R,1999-03-11,,68,47,,,,73,,Asian,60,clean_shaven,,Yong,52,black,76,balanced,45,,0,0,False,,Li,55,,[],55,,48,P7090,69,,79,,,,73,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",52,,,,61,49,,,72,,SS,0,,49,,medium,,64,R,60,187
57,R,2003-07-02,,60,49,,,,67,,Asian,62,clean_shaven,,Yong,47,black,75,balanced,51,,0,0,False,,Hassan,48,,[],64,,52,P2565,65,,69,,,,73,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",47,,,,79,49,,,68,,CF,0,,49,,medium,,59,R,64,207
56,L,1991-06-04,,92,47,,,,53,,Hispanic,62,goatee,,Pedro,55,brown,68,contact,57,,0,0,False,,Garcia,52,,[],46,,49,P1459,48,,87,,,,61,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",55,,,,42,51,,,59,,SS,0,,51,,light,,63,R,79,227
61,L,1988-02-02,,54,48,,,,49,,Hispanic,82,mustache,,Ricardo,50,black,75,power,54,,0,0,False,,Guerrero,55,,[],87,,43,P9515,53,,54,,,,72,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",50,,,,87,52,,,40,,1B,0,,52,,medium,,46,L,64,217
65,R,1997-05-16,,57,49,,,,62,,African,49,clean_shaven,,Tyrone,47,black,77,power,48,,0,0,False,,Young,46,,[],71,,59,P7854,62,,62,,,,52,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",47,,,,76,47,,,54,,3B,0,,47,,dark,,57,R,57,195
58,R,1999-09-05,,73,45,,,,68,,Anglo,46,goatee,,Cornell,54,black,68,contact,56,,0,0,False,,Chio,52,,[],32,,40,P2015,72,,87,,,,57,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",54,,,,46,49,,,64,,3B,0,,49,,light,,59,R,82,171
47,L,1992-12-31,,76,46,,,,49,,Hispanic,49,mustache,,Juan,46,brown,74,contact,51,,0,0,False,,Reyes,48,,[],52,,53,P1782,42,,72,,,,40,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",46,,,,47,55,,,63,,1B,0,,55,,light,,66,R,88,176
69,S,2000-02-22,,81,49,,,,58,,Anglo,63,clean_shaven,,Bradly,49,red,69,contact,55,,0,0,False,,Matros,56,,[],44,,50,P6551,79,,93,,,,76,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",49,,,,58,54,,,75,,LF,0,,54,,medium,,61,L,76,226
50,R,1991-12-14,,68,49,,,,63,,African,54,clean_shaven,,Xavier,54,black,69,contact,49,,0,0,False,,Allen,53,,[],30,,43,P1451,40,,62,,,,48,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",54,,,,26,54,,,52,,C,0,,54,,medium,,56,R,61,222
74,R,1991-12-31,,64,51,,,,61,,African,60,clean_shaven,,Jermaine,51,black,71,balanced,51,,0,0,False,,Allen,53,,['CF'],54,,64,P4811,70,,60,,,,50,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'RF': 100}",51,,,,44,49,,,55,,LF,0,,49,,dark,,61,R,68,166
51,R,1999-11-01,,59,47,,,,64,,Hispanic,47,beard,,Luis,50,brown,68,power,48,,0,0,False,,Reyes,49,,[],68,,43,P3877,56,,69,,,,58,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",50,,,,83,53,,,43,,3B,0,,53,,light,,32,R,58,200
58,L,2001-01-15,,68,45,,,,69,,African,58,mustache,,Jamal,56,black,77,balanced,51,,0,0,False,,Young,47,,[],56,,53,P6037,66,,74,,,,64,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",56,,,,67,51,,,63,,SS,0,,51,,dark,,54,R,64,217
63,R,1994-03-03,,79,53,,,,64,,Asian,64,beard,,Sung,53,black,71,contact,54,,0,0,False,,Li,50,,[],49,,62,P5123,65,,76,,,,61,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,45,45,,,70,,1B,0,,45,,medium,,74,R,69,167
48,L,1996-03-17,,60,50,,,,61,,African,49,beard,,Rufus,49,black,74,balanced,55,,0,0,False,,King,45,,[],50,,58,P1316,44,,59,,,,45,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,49,47,,,51,,C,0,,47,,medium,,54,R,68,242
65,R,2000-12-05,,86,47,,,,70,,Asian,85,mustache,,Yong,49,black,70,contact,54,,0,0,False,,Yamamoto,50,,[],64,,38,P3400,76,,99,,,,95,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",49,,,,73,55,,,84,,RF,0,,55,,medium,,71,R,61,246
49,R,1995-11-23,,76,52,,,,65,,Anglo,54,clean_shaven,,Morton,55,brown,76,contact,48,,0,0,False,,Okwuona,51,,[],35,,59,P1516,46,,74,,,,51,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",55,,,,38,52,,,51,,2B,0,,52,,light,,50,R,70,169
50,R,1995-05-13,,60,52,,,,70,,Hispanic,57,mustache,,Ricardo,50,blonde,70,balanced,53,,0,0,False,,Vasquez,46,,[],49,,57,P8855,50,,63,,,,61,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",50,,,,53,48,,,56,,2B,0,,48,,light,,57,R,53,248
63,R,1999-04-09,,66,49,,,,76,,Anglo,51,clean_shaven,,Marquis,54,blonde,71,balanced,53,,0,0,False,,Keobaunleuang,49,,[],73,,61,P7276,77,,76,,,,56,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",54,,,,80,56,,,78,,1B,0,,56,,medium,,71,R,65,190
52,R,1998-09-12,,74,46,,,,65,,Anglo,54,clean_shaven,,Cameron,49,blonde,74,contact,50,,0,0,False,,Kleimola,43,,[],35,,53,P7695,60,,80,,,,68,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",49,,,,49,52,,,63,,CF,0,,52,,medium,,54,R,75,232
59,L,1999-11-10,,76,50,,,,60,,Anglo,64,beard,,Alejandro,48,blonde,70,contact,49,,0,0,False,,Rivera,50,,[],47,,59,P9603,72,,83,,,,71,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",48,,,,59,45,,,61,,LF,0,,45,,light,,56,L,90,217
46,R,2000-12-18,,61,46,,,,70,,Asian,50,clean_shaven,,Yong,51,black,76,power,50,,0,0,False,,Huang,52,,[],66,,48,P7371,59,,67,,,,62,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",51,,,,74,53,,,54,,CF,0,,53,,medium,,39,R,40,162
55,R,1998-01-23,,81,55,,,,65,,Anglo,63,beard,,Fermin,53,brown,76,balanced,51,,0,0,False,,Colehour,52,,[],56,,62,P1104,67,,90,,,,70,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",53,,,,61,47,,,73,,SS,0,,47,,dark,,62,R,53,183
59,L,1999-09-23,,74,52,,,,64,,Hispanic,57,beard,,Antonio,51,brown,72,speed_disc,46,,0,0,False,,Lopez,49,,[],59,,55,P7060,64,,84,,,,66,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,72,47,,,93,,1B,0,,47,,medium,,78,L,75,227
63,L,1994-05-08,,84,50,,,,66,,Asian,45,clean_shaven,,Yong,49,brown,72,contact,59,,0,0,False,,Choi,50,,[],51,,51,P2248,58,,80,,,,45,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",49,,,,56,51,,,56,,CF,0,,51,,medium,,51,L,75,202
70,R,1992-03-22,,72,47,,,,62,,Anglo,67,clean_shaven,,Jamal,46,black,68,contact,55,,0,0,False,,Allen,47,,[],43,,59,P5048,60,,66,,,,61,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",46,,,,38,52,,,50,,RF,0,,52,,light,,56,R,81,191
50,R,1995-04-25,,63,48,,,,69,,Anglo,46,clean_shaven,,Roman,46,blonde,72,power,51,,0,0,False,,Baucum,49,,[],61,,58,P2660,50,,65,,,,42,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",46,,,,60,51,,,33,,2B,0,,51,,light,,32,R,55,191
61,R,1992-12-27,,44,52,,,,61,,African,41,clean_shaven,,Darnell,55,black,75,balanced,52,,0,0,False,,White,56,,[],61,,48,P8419,52,,35,,,,36,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",55,,,,52,49,,,38,,C,0,,49,,dark,,38,R,51,212
57,R,1999-11-29,,60,50,,,,61,,Hispanic,55,clean_shaven,,Ricardo,49,blonde,70,balanced,48,,0,0,False,,Lopez,47,,[],54,,52,P6013,66,,65,,,,70,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",49,,,,69,53,,,77,,2B,0,,53,,medium,,62,R,66,170
66,R,1994-10-12,,57,51,,,,68,,Hispanic,59,clean_shaven,,Miguel,48,blonde,73,power,49,,0,0,False,,Ramos,52,,['RF'],80,,54,P1345,67,,60,,,,63,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100}",48,,,,79,50,,,41,,3B,0,,50,,medium,,46,R,45,211
60,R,1996-11-14,,65,52,,,,64,,African,46,mustache,,Rufus,51,brown,70,balanced,54,,0,0,False,,Allen,53,,[],47,,59,P2066,64,,65,,,,42,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",51,,,,42,48,,,53,,2B,0,,48,,dark,,57,R,53,187
46,R,1999-02-16,,62,46,,,,67,,Hispanic,58,clean_shaven,,Alejandro,50,black,69,balanced,51,,0,0,False,,Diaz,53,,[],52,,56,P1879,60,,73,,,,73,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",50,,,,61,49,,,71,,2B,0,,49,,light,,60,R,62,213
57,R,1997-11-06,,74,55,,,,60,,African,70,clean_shaven,,Malik,55,black,70,speed_disc,51,,0,0,False,,White,55,,[],65,,51,P8531,58,,76,,,,72,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",55,,,,62,49,,,67,,1B,0,,49,,dark,,70,R,69,213
57,R,1997-07-07,,77,48,,,,74,,Anglo,65,clean_shaven,,Mitchell,43,brown,78,speed_disc,49,,0,0,False,,Garb,51,,[],46,,47,P9162,56,,82,,,,61,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",43,,,,49,45,,,80,,SS,0,,45,,medium,,84,R,80,248
58,L,1994-04-29,,56,49,,,,60,,Hispanic,48,beard,,Luis,49,brown,76,balanced,48,,0,0,False,,Gomez,58,,[],62,,49,P4306,58,,60,,,,43,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,67,51,,,46,,C,0,,51,,light,,47,R,61,223
63,L,1994-10-10,,67,50,,,,60,,Anglo,59,clean_shaven,,Roman,45,black,74,contact,51,,0,0,False,,Fitzgibbons,51,,['RF'],49,,55,P5251,67,,63,,,,58,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140}",45,,,,49,56,,,70,,CF,0,,56,,medium,,73,R,89,203
59,R,2002-08-11,,76,49,,,,70,,Asian,61,mustache,,Yong,49,black,68,contact,49,,0,0,False,,Kim,44,,[],36,,49,P1168,70,,82,,,,76,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",49,,,,44,47,,,69,,LF,0,,47,,medium,,54,R,78,233
74,R,1996-11-11,,73,46,,,,72,,Asian,60,goatee,,Yong,51,black,75,balanced,50,,0,0,False,,Singh,51,,[],53,,42,P7155,77,,75,,,,56,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",51,,,,52,47,,,60,,SS,0,,47,,light,,61,R,54,216
45,R,1996-08-17,,73,52,,,,64,,Anglo,59,clean_shaven,,Delmer,49,brown,78,balanced,50,,0,0,False,,Mahoney,44,,[],46,,44,P3098,42,,73,,,,63,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",49,,,,44,48,,,53,,2B,0,,48,,medium,,48,R,63,187
63,R,1998-09-16,,66,52,,,,59,,African,48,beard,,Rufus,58,black,78,contact,48,,0,0,False,,Gaines,48,,[],39,,54,P6550,71,,73,,,,55,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",58,,,,52,43,,,76,,3B,0,,43,,dark,,62,R,77,239
60,S,1995-04-10,,88,52,,,,77,,Asian,55,clean_shaven,,Sung,56,black,76,contact,48,,0,0,False,,Patel,41,,[],53,,57,P2290,61,,90,,,,60,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",56,,,,48,53,,,61,,LF,0,,53,,medium,,65,R,69,167
64,R,2003-10-26,,64,50,,,,64,,African,67,beard,,Jamal,52,black,74,power,54,,0,0,False,,Harris,50,,[],87,,46,P2430,73,,77,,,,72,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",52,,,,99,53,,,66,,RF,0,,53,,light,,51,R,50,190
59,R,1997-08-15,,94,49,,,,63,,African,55,clean_shaven,,Darnell,59,black,71,contact,45,,0,0,False,,Taylor,46,,[],46,,56,P5067,56,,92,,,,60,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",59,,,,48,50,,,59,,SS,0,,50,,dark,,61,R,64,218
63,L,2001-07-14,,71,49,,,,63,,Anglo,57,clean_shaven,,Abe,53,red,78,contact,48,,0,0,False,,Mozie,51,,[],43,,53,P4897,70,,80,,,,68,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,50,46,,,80,,1B,0,,46,,medium,,68,L,79,189
59,R,2002-05-11,,77,43,,,,64,,African,60,clean_shaven,,Deshawn,45,black,72,contact,53,,0,0,False,,Robinson,47,,[],49,,56,P4849,70,,92,,,,70,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",45,,,,58,46,,,76,,LF,0,,46,,dark,,61,R,64,162
52,R,1999-11-26,,65,49,,,,73,,Asian,68,goatee,,Yong,48,black,74,contact,45,,0,0,False,,Park,53,,[],41,,56,P1902,59,,73,,,,75,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",48,,,,54,52,,,58,,2B,0,,52,,light,,46,R,74,186
61,L,1996-02-02,,56,57,,,,69,,Hispanic,59,clean_shaven,,Hector,54,black,68,balanced,52,,0,0,False,,Ramos,50,,[],52,,52,P9667,61,,61,,,,61,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",54,,,,48,48,,,56,,LF,0,,48,,dark,,61,R,60,177
53,S,2000-01-31,,62,54,,,,72,,African,53,beard,,Malik,48,brown,75,balanced,51,,0,0,False,,Green,43,,[],61,,47,P2210,67,,72,,,,61,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,71,53,,,56,,1B,0,,53,,dark,,49,R,57,207
48,R,1997-07-22,,80,51,,,,69,,African,63,clean_shaven,,Darnell,47,black,76,balanced,45,,0,0,False,,Jefferson,45,,[],64,,53,P1852,48,,75,,,,63,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",47,,,,59,49,,,60,,3B,0,,49,,dark,,60,R,59,191
50,L,2001-01-01,,70,50,,,,64,,African,62,clean_shaven,,Leroy,51,black,70,balanced,50,,0,0,False,,Walker,47,,[],51,,51,P7681,57,,76,,,,73,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",51,,,,61,48,,,63,,LF,0,,48,,light,,57,L,73,248
87,R,1992-11-27,,76,50,,,,69,,Anglo,68,clean_shaven,,Emmitt,52,black,73,contact,57,,0,0,False,,Popplewell,49,,[],38,,39,P4167,87,,67,,,,61,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",52,,,,30,54,,,70,,CF,0,,54,,light,,71,R,79,209
48,R,1993-02-20,,51,51,,,,63,,African,43,clean_shaven,,Leroy,53,black,69,balanced,47,,0,0,False,,Gaines,53,,[],54,,42,P9492,44,,47,,,,41,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,54,54,,,27,,C,0,,54,,dark,,35,R,66,243
45,R,1998-06-16,,65,52,,,,70,,African,55,clean_shaven,,Deshawn,49,brown,68,power,44,,0,0,False,,Carter,49,,[],71,,52,P9797,53,,70,,,,62,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",49,,,,83,48,,,51,,2B,0,,48,,dark,,40,R,49,197
56,R,1994-02-19,,66,56,,,,62,,African,60,goatee,,Cedric,44,black,72,balanced,46,,0,0,False,,Young,49,,[],64,,60,P4140,59,,66,,,,56,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",44,,,,61,48,,,65,,SS,0,,48,,light,,61,R,61,196
54,R,1993-10-05,,63,54,,,,64,,Hispanic,49,goatee,,Jose,52,brown,72,power,53,,0,0,False,,Mendoza,55,,[],84,,47,P6141,44,,63,,,,46,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",52,,,,76,47,,,33,,3B,0,,47,,light,,41,R,58,190
68,L,2002-08-30,,71,48,,,,64,,Anglo,56,clean_shaven,,Ignacio,53,red,68,balanced,49,,0,0,False,,Morber,55,,[],68,,57,P5292,75,,82,,,,63,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",53,,,,78,54,,,60,,RF,0,,54,,medium,,54,L,54,241
60,S,2001-10-18,,43,45,,,,65,,Anglo,39,beard,,Leroy,50,brown,77,power,52,,0,0,False,,Harris,51,,[],83,,49,P8962,71,,50,,,,51,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",50,,,,90,48,,,38,,C,0,,48,,light,,30,R,58,202
